"place","gender","age","home","time"
3592,"Male",52,"GBR",217.483333333333
13853,"Female",40,"NY",272.55
12256,"Male",31,"FRA",265.283333333333
10457,"Female",33,"MI",256.15
9686,"Male",33,"NY",252.25
1784,"Male",40,"NJ",201.966666666667
16020,"Female",30,"CA",283.566666666667
10805,"Male",27,"GBR",255.883333333333
12201,"Male",42,"NED",264.25
19266,"Male",48,"B.C",306.683333333333
15229,"Female",63,"GBR",281.266666666667
15260,"Male",49,"ITA",280.25
10670,"Male",33,"NY",258.333333333333
10658,"Male",43,"NY",257.133333333333
200,"Male",40,"GER",163.933333333333
10178,"Male",33,"NY",253.616666666667
2467,"Male",40,"FRA",206.266666666667
10729,"Male",36,"NY",257.933333333333
12093,"Male",49,"SWE",262.133333333333
12428,"Female",34,"NY",264.216666666667
2730,"Male",26,"DEN",209.733333333333
12179,"Male",50,"NED",265.25
20460,"Male",33,"NJ",315.233333333333
23413,"Male",71,"FL",414.7
19921,"Female",39,"GER",309.266666666667
11878,"Female",28,"GBR",261.266666666667
17683,"Male",52,"GBR",295.316666666667
17933,"Male",28,"NED",294.833333333333
10151,"Male",52,"CA",254.25
8915,"Male",41,"BRA",248.95
213,"Male",35,"VA",164.5
21647,"Female",39,"NY",334.016666666667
2721,"Male",48,"FRA",210.9
14623,"Male",33,"NED",271.066666666667
4715,"Male",35,"MA",226.466666666667
10277,"Male",46,"PR",256.716666666667
12630,"Male",30,"NY",264.833333333333
3751,"Male",42,"KY",219.133333333333
6867,"Male",31,"ITA",237.7
737,"Male",40,"IL",184.3
10972,"Male",41,"NY",253.75
12968,"Male",33,"NY",267.466666666667
17775,"Male",37,"NY",289.616666666667
10333,"Female",25,"RSA",256.966666666667
17068,"Male",39,"GBR",288.033333333333
14690,"Male",34,"NY",277.4
20253,"Female",42,"NY",316.333333333333
13301,"Male",44,"ITA",271.366666666667
8827,"Male",45,"MA",248.083333333333
836,"Male",30,"NY",186.45
7132,"Male",33,"CA",237.2
20479,"Female",39,"CAN",318.633333333333
23499,"Male",67,"GA",431.616666666667
4969,"Male",35,"GBR",227.016666666667
22469,"Female",42,"NY",353.1
16264,"Female",30,"MA",284.016666666667
23338,"Female",31,"NY",407.433333333333
9692,"Male",44,"FRA",252.633333333333
16010,"Male",44,"MEX",283.75
3502,"Female",38,"GBR",218.383333333333
2596,"Male",27,"MEX",207.016666666667
23603,"Female",58,"NY",467.183333333333
5909,"Male",36,"NY",231.416666666667
12677,"Male",36,"NED",265.133333333333
507,"Male",33,"CT",177.366666666667
17290,"Male",40,"NY",292.133333333333
6077,"Female",28,"NY",234.2
12275,"Female",32,"NY",264.5
3979,"Male",36,"FRA",221.383333333333
9104,"Female",23,"NY",247.316666666667
6693,"Male",33,"MA",236.233333333333
6240,"Male",42,"NY",235.733333333333
15883,"Male",41,"GBR",284.25
5768,"Female",40,"MEX",232.383333333333
12107,"Male",40,"GBR",265.116666666667
5322,"Male",33,"ITA",230.416666666667
20939,"Female",25,"KOR",327.166666666667
20690,"Male",27,"GBR",321.55
13208,"Male",51,"MEX",268.966666666667
10826,"Female",56,"SWE",258.533333333333
9057,"Male",48,"GER",249.266666666667
21068,"Male",33,"NY",326.933333333333
12967,"Male",51,"GER",268.183333333333
11191,"Male",51,"RSA",256.983333333333
11503,"Male",32,"NY",256.5
12100,"Female",32,"NY",263.85
15480,"Male",69,"FRA",276.5
19171,"Male",44,"ITA",306.416666666667
7158,"Female",38,"GBR",239.55
11372,"Female",31,"GBR",259.2
14966,"Male",53,"NED",277.683333333333
4582,"Male",44,"MO",219.766666666667
4808,"Male",44,"NY",227.2
13602,"Male",51,"NM",272.216666666667
417,"Male",33,"NY",175.366666666667
10437,"Female",41,"GBR",254.533333333333
5131,"Male",33,"NY",226.766666666667
3593,"Male",32,"NY",219.05
1996,"Male",30,"NZL",204.633333333333
19192,"Male",40,"GBR",305.283333333333
11659,"Male",60,"NY",262.766666666667
7121,"Male",42,"LAN",238.95
21344,"Female",65,"JPN",328.933333333333
371,"Male",26,"GER",173.6
16397,"Female",38,"GER",287.633333333333
23112,"Male",81,"ITA",389
4919,"Male",31,"NJ",226.8
5798,"Female",33,"NY",229.316666666667
8133,"Male",61,"FRA",244.3
16212,"Female",40,"NY",284.816666666667
6251,"Male",32,"IL",234.583333333333
532,"Male",66,"ESP",178.583333333333
11430,"Male",59,"NY",262.683333333333
11230,"Male",40,"FRA",259.233333333333
8908,"Male",43,"MI",247.95
23373,"Male",18,"MEX",408.333333333333
558,"Male",60,"ITA",179.516666666667
23180,"Female",36,"GBR",394.083333333333
9224,"Male",44,"NJ",251.366666666667
1441,"Male",34,"MI",197.2
5508,"Male",41,"CAN",230.35
13522,"Male",44,"PA",268.416666666667
5041,"Male",25,"NY",228.283333333333
8685,"Female",21,"FRA",248.033333333333
517,"Male",32,"SUI",177.716666666667
12918,"Male",38,"NY",266.833333333333
17360,"Male",33,"NY",291.383333333333
2613,"Female",22,"OR",209.066666666667
22873,"Female",33,"TX",369.35
21085,"Male",61,"FL",326.7
11627,"Male",33,"NY",258.033333333333
22932,"Female",41,"LA",371.983333333333
20994,"Male",45,"NY",325.95
9862,"Female",34,"CAN",252.366666666667
16475,"Male",36,"GBR",286.816666666667
515,"Male",29,"ITA",177.633333333333
20992,"Male",43,"NY",326.05
15236,"Male",21,"FL",276.65
8756,"Male",52,"DEN",246.966666666667
4885,"Female",41,"NY",225.083333333333
14115,"Male",59,"FRA",273.983333333333
13798,"Male",56,"SUI",271.966666666667
14528,"Male",31,"NY",270.666666666667
1752,"Male",43,"NY",201.95
13718,"Female",27,"GER",270.05
20350,"Female",28,"NJ",320.533333333333
6613,"Male",54,"FRA",236.433333333333
10752,"Male",38,"NJ",258
8725,"Male",31,"MA",247.416666666667
12137,"Male",44,"VEN",264.916666666667
885,"Male",40,"FRA",187.416666666667
991,"Male",35,"FRA",189.466666666667
23516,"Male",76,"NY",430.816666666667
23464,"Male",51,"NY",426.883333333333
18076,"Male",51,"NY",297.2
23602,"Male",73,"NY",460.8
17454,"Female",53,"GA",289.266666666667
13468,"Female",29,"NED",271.066666666667
4579,"Male",42,"MEX",223.05
10334,"Female",44,"NY",256.483333333333
21638,"Male",43,"CA",332.233333333333
17113,"Female",33,"FL",290.3
8709,"Male",47,"FRA",247.933333333333
1583,"Male",53,"NJ",199.583333333333
